session	optimize	depth	controllers	survivors	episodes	noise	initial_value	variance	session_seed	game_seed	name	generation	type	game_num	repetition	landing_height	eroded_cells	row_trans	col_trans	pits	cuml_wells	deep_wells	max_well	cuml_cleared	pit_depth	pit_rows	tetris	landing_height_norm	eroded_cells_norm	row_trans_norm	col_trans_norm	pits_norm	cuml_wells_norm	deep_wells_norm	max_well_norm	cuml_cleared_norm	pit_depth_norm	pit_rows_norm	tetris_norm	landing_height_var	eroded_cells_var	row_trans_var	col_trans_var	pits_var	cuml_wells_var	deep_wells_var	max_well_var	cuml_cleared_var	pit_depth_var	pit_rows_var	tetris_var	lines	l1	l2	l3	l4	score	level	eps	norm_of_weights
2017-06-27_20-43-37	score	80	200	10	600	4	0	100	1498596217.66	24803	G10_19	10	search	19	1	-20.981892105	19.689112293	-18.0249783108	-0.0	-32.9720210565	-10.6700432515	-1.52510683657	79.5181663985	-13.7931483985	-1.37592326951	-8.19093004494	27.5786310161	-0.263862876312	0.247605210039	-0.226677489272	-0.0	-0.414647652856	-0.134183718448	-0.0191793511552	1.0	-0.173459085178	-0.0173032570019	-0.103007028657	0.346821767468													85	24	5	13	3	11060.0	8	255	11
2017-06-27_20-43-37	score	80	200	10	600	4	0	100	1498596217.66	22407	G10_20	10	search	20	1	-19.8428127601	-3.31504805319	-13.5368350526	-0.0	-39.1984770623	-9.7331003303	0.183627567851	81.1268396944	-7.32567767799	-6.9190187732	-2.46945553205	22.3474253644	-0.244589988157	-0.0408625316317	-0.166860130427	-0.0	-0.483175200833	-0.119973862743	0.00226346260427	1.0	-0.0902990638559	-0.0852864329397	-0.0304394395413	0.275462787021													65	20	13	5	1	-9700.0	6	206	11
2017-06-27_20-43-37	score	80	200	10	600	4	0	100	1498596217.66	27339	G10_21	10	search	21	1	-10.1673732002	-1.05468433678	-21.3627792457	-0.0	-43.8770196056	-10.7410366483	-8.12649746004	82.1672521033	-11.2114772626	-1.17997052386	2.46157622224	16.444576858	-0.12373996866	-0.0128358233942	-0.259991404104	-0.0	-0.533996433889	-0.130721624167	-0.0989019013296	1.0	-0.136447026955	-0.0143605937117	0.0299581178538	0.200135412065													143	54	15	13	5	48740.0	14	400	11
2017-06-27_20-43-37	score	80	200	10	600	4	0	100	1498596217.66	81125	G10_22	10	search	22	1	-13.8658369377	0.054475510916	-20.0707634261	-0.0	-53.6999284821	-9.78719174682	-0.284959325364	82.7894507886	-13.9488508099	-4.69671658077	1.95072325807	14.4911779631	-0.16748313711	0.000658000631688	-0.24243141167	-0.0	-0.648632500525	-0.118217860532	-0.00344197627415	1.0	-0.168485847859	-0.0567308580505	0.023562461636	0.1750365273													150	27	17	19	8	84080.0	15	419	11
2017-06-27_20-43-37	score	80	200	10	600	4	0	100	1498596217.66	5771	G10_23	10	search	23	1	-24.1841840272	4.17428738683	-16.091575234	-0.0	-49.337961143	-10.9363398134	-6.66339551634	80.2985478594	-12.9408118839	-13.6017714496	-0.130887132163	21.7246427057	-0.30117834845	0.0519845937206	-0.20039683983	-0.0	-0.614431548991	-0.13619598492	-0.0829827648691	1.0	-0.16115872863	-0.169390005327	-0.0016300062162	0.270548388294													163	55	22	12	7	81600.0	16	451	11
2017-06-27_20-43-37	score	80	200	10	600	4	0	100	1498596217.66	57036	G10_24	10	search	24	1	-25.5976312404	1.81290153977	-21.2141926205	-0.0	-72.2343150545	-10.7676447482	-0.0554484393757	82.4369507147	-10.4155133578	-5.30477362826	-6.41019105727	10.228025761	-0.31051162153	0.0219913706664	-0.257338395424	-0.0	-0.876237105185	-0.130616727752	-0.000672616331573	1.0	-0.126345204031	-0.0643494644364	-0.0777587113752	0.124070888992													226	62	27	22	11	198820.0	22	600	11
2017-06-27_20-43-37	score	80	200	10	600	4	0	100	1498596217.66	5283	G10_25	10	search	25	1	-15.4061834513	-13.9280673736	-14.8393786858	-0.0	-47.8497513517	-12.1292423546	-0.399746973503	84.3014175937	-10.1470197679	-9.63736912691	0.259159228271	24.3712021108	-0.182751178936	-0.165217475235	-0.176027629301	-0.0	-0.567603163951	-0.14387945898	-0.00474187724137	1.0	-0.120365944696	-0.11432036853	0.00307419774979	0.289095993952													35	14	1	5	1	-6840.0	3	130	11
2017-06-27_20-43-37	score	80	200	10	600	4	0	100	1498596217.66	62646	G10_26	10	search	26	1	-14.7535110619	-11.5130291547	-18.203311878	-0.0	-70.1813431956	-15.3593412003	0.230114471198	79.3641330423	-16.2545919911	-5.41746504307	3.17417221374	22.5835297421	-0.185896455947	-0.145065897067	-0.229364464528	-0.0	-0.884295468309	-0.193530006711	0.00289947690949	1.0	-0.204810301177	-0.0682608734626	0.0399950467807	0.2845558677													235	79	40	12	10	163120.0	23	600	11
2017-06-27_20-43-37	score	80	200	10	600	4	0	100	1498596217.66	1828	G10_27	10	search	27	1	-11.3804915518	15.7708641011	-9.64539493166	-0.0	-38.0961334989	-5.96836836398	-0.25952605144	87.911789814	-2.41870633901	-5.20425345273	2.17543457582	33.5666869943	-0.129453530361	0.179394187452	-0.109716739382	-0.0	-0.433344987965	-0.0678904203476	-0.00295211884537	1.0	-0.0275128778987	-0.0591985837593	0.0247456522092	0.381822359269													39	0	4	5	4	8120.0	3	140	11
2017-06-27_20-43-37	score	80	200	10	600	4	0	100	1498596217.66	25294	G10_28	10	search	28	1	-20.0101148339	1.66397238166	-17.7685401429	-0.0	-59.6673203485	-10.6083572974	-1.19380601268	84.1116835083	-7.88699584212	-7.66873268383	-4.02653247387	27.7252616288	-0.237899349999	0.0197828923671	-0.211249369906	-0.0	-0.709382072261	-0.126122279985	-0.0141931056768	1.0	-0.0937681367576	-0.091173215943	-0.0478712624207	0.329624381208													232	74	37	16	9	156660.0	23	600	11
